City,Code,Airport,URL
Monett,HFJ,Monett Municipal Airport,https://en.wikipedia.org/wiki/Monett_Municipal_Airport
Monticello,6M6,Lewis County Regional Airport,https://en.wikipedia.org/w/index.php?title=Lewis_County_Regional_Airport&action=edit&redlink=1
Mosby,GPH,Midwest National Air Center(was Clay County Regional),https://en.wikipedia.org/wiki/Midwest_National_Air_Center
Mountain Grove,1MO,Mountain Grove Memorial Airport,https://en.wikipedia.org/w/index.php?title=Mountain_Grove_Memorial_Airport&action=edit&redlink=1
Mountain View,MNF,Mountain View Airport,https://en.wikipedia.org/wiki/Mountain_View_Airport_(Missouri)
Neosho,EOS,Neosho Hugh Robinson Airport,https://en.wikipedia.org/wiki/Neosho_Hugh_Robinson_Airport
Nevada,NVD,Nevada Municipal Airport,https://en.wikipedia.org/w/index.php?title=Nevada_Municipal_Airport&action=edit&redlink=1
New Madrid,EIW,County Memorial Airport,https://en.wikipedia.org/w/index.php?title=County_Memorial_Airport&action=edit&redlink=1
Osage Beach,K15,Grand Glaize-Osage Beach Airport,https://en.wikipedia.org/w/index.php?title=Grand_Glaize-Osage_Beach_Airport&action=edit&redlink=1
Perryville,PCD,Perryville Regional Airport,https://en.wikipedia.org/wiki/Perryville_Municipal_Airport
Piedmont,PYN,Piedmont Municipal Airport,https://en.wikipedia.org/w/index.php?title=Piedmont_Municipal_Airport&action=edit&redlink=1
Poplar Bluff,POF,Poplar Bluff Regional Business Airport,https://en.wikipedia.org/w/index.php?title=Poplar_Bluff_Regional_Business_Airport&action=edit&redlink=1
Potosi,8WC,Washington County Airport,https://en.wikipedia.org/wiki/Washington_County_Airport_(Missouri)
Rolla/Vichy,VIH,Rolla National Airport,https://en.wikipedia.org/wiki/Rolla_National_Airport
St. Joseph,STJ,Rosecrans Memorial Airport,https://en.wikipedia.org/wiki/Rosecrans_Memorial_Airport
Salem,K33,Salem Memorial Airport,https://en.wikipedia.org/wiki/Salem_Memorial_Airport
Sedalia,DMO,Sedalia Regional Airport(was Sedalia Memorial),https://en.wikipedia.org/wiki/Sedalia_Regional_Airport
Sikeston,SIK,Sikeston Memorial Municipal Airport,https://en.wikipedia.org/wiki/Sikeston_Memorial_Municipal_Airport
Sullivan,UUV,Sullivan Regional Airport,https://en.wikipedia.org/wiki/Sullivan_Regional_Airport
Tarkio,K57,Gould Peterson Municipal Airport,https://en.wikipedia.org/w/index.php?title=Gould_Peterson_Municipal_Airport&action=edit&redlink=1
Trenton,TRX,Trenton Municipal Airport,https://en.wikipedia.org/wiki/Trenton_Municipal_Airport_(Missouri)
Warrensburg,RCM,Skyhaven Airport,https://en.wikipedia.org/wiki/Skyhaven_Airport_(Missouri)
Warsaw,RAW,Warsaw Municipal Airport,https://en.wikipedia.org/wiki/Warsaw_Municipal_Airport_(Missouri)
Washington,FYG,Washington Regional Airport(was Washington Memorial),https://en.wikipedia.org/w/index.php?title=Washington_Regional_Airport&action=edit&redlink=1
West Plains,UNO,West Plains Regional Airport(was West Plains Municipal),https://en.wikipedia.org/wiki/West_Plains_Regional_Airport
Albany,K19,Albany Municipal Airport,https://en.wikipedia.org/wiki/Albany_Municipal_Airport_(Missouri)
