Airport Name
Military airbases established in 1950
Alert Airport
Amman Civil Airport
Baltimore/Washington International Airport
Block Island State Airport
Budapest Ferenc Liszt International Airport
"Hamar Airport, Stafsberg"
Hana Airport
Kuching International Airport
Martinique Aimé Césaire International Airport
Shannon Airport (Virginia)
Winston Field Airport
